token,true,pred,index
AD-DIYAR,B-ORG,B-LOC,245
Eveningperformance,B-PER,O,392
MANCHESTER,B-LOC,B-ORG,487
UNITED,I-LOC,I-ORG,488
Hearts,B-ORG,O,602
Royal,B-LOC,B-ORG,824
Free,I-LOC,I-ORG,825
Hospital,I-LOC,I-ORG,826
School,I-LOC,I-ORG,827
of,I-LOC,I-ORG,828
Medicine,I-LOC,I-ORG,829
University,B-LOC,B-ORG,837
Sairyu,B-MISC,B-LOC,883
Maru,I-MISC,I-LOC,884
No,I-MISC,O,885
:,I-MISC,O,886
2,I-MISC,O,887
Pontiac,B-LOC,B-ORG,1229
Kevorkian,B-PER,B-MISC,1234
Muenster,B-LOC,B-ORG,1291
India,I-MISC,B-LOC,1445
NEW,B-LOC,B-ORG,1553
YORK,I-LOC,I-ORG,1554
Davenport,B-PER,B-ORG,1968
Olympic,I-MISC,B-MISC,2156
McCarthy,B-ORG,O,2370
McCarthy,B-ORG,B-PER,2377
C$,B-MISC,O,2387
C$,B-MISC,O,2389
Tenacity,B-ORG,O,2426
Eleusis,B-ORG,B-LOC,2439
CNR,B-ORG,O,2443
OTC,I-ORG,B-ORG,2752
Bunds,B-MISC,O,2771
Redmond,B-PER,B-LOC,3008
NT,B-MISC,B-ORG,3057
W-2,B-MISC,O,3095
St.,B-LOC,B-ORG,3139
Matthew,I-LOC,I-ORG,3140
's,I-LOC,I-ORG,3141
Amsterdam,B-LOC,B-ORG,3830
Verona,B-PER,B-LOC,4310
Hamlet,O,B-MISC,4638
Ennea,B-MISC,B-ORG,4657
Setubal,B-ORG,B-PER,5181
World,I-MISC,B-MISC,5417
1992,B-MISC,O,5421
European,I-MISC,B-MISC,5422
championship,I-MISC,O,5423
EPR,B-ORG,O,5649
Sultan,O,B-PER,5729
Swindon,B-ORG,B-LOC,6232
),O,I-ORG,6334
Sao,B-ORG,B-LOC,6345
Paulo,I-ORG,I-LOC,6346
Brazilian,B-MISC,B-ORG,6380
Football,I-MISC,I-ORG,6381
Confederation,I-MISC,I-ORG,6382
CBF,B-MISC,B-ORG,6384
Sao,B-ORG,B-LOC,6392
Paulo-Santos,I-ORG,I-LOC,6393
Florida,B-ORG,B-LOC,6667
Northcote,B-ORG,B-LOC,7017
College,I-ORG,I-LOC,7018
CBOT,O,B-ORG,7137
ARA,O,B-ORG,7256
225-share,O,B-MISC,7465
1991,O,B-MISC,7524
Airbus,B-MISC,B-ORG,7579
M3,B-LOC,B-MISC,7640
Hoare,I-ORG,B-ORG,8186
Kadian,B-MISC,B-ORG,8216
Faulding,B-ORG,B-PER,8224
Minneapolis,B-LOC,B-ORG,8660
Billings,B-LOC,O,8668
MT,B-LOC,O,8669
Wisc,B-LOC,B-ORG,8802
.,I-LOC,O,8803
Cultural,O,B-ORG,8922
Ministry,O,I-ORG,8923
Pierina,B-LOC,B-ORG,9051
Argentine,B-MISC,B-LOC,9496
2000,B-ORG,B-MISC,9559
Games,I-ORG,I-MISC,9560
N.J.,B-LOC,I-LOC,10056
Yates,I-ORG,I-PER,10516
California,B-MISC,B-LOC,10618
Proposition,I-MISC,O,10619
215,I-MISC,O,10620
International,B-MISC,B-ORG,10724
Petroleum,I-MISC,I-ORG,10725
Encyclopedia,I-MISC,I-ORG,10726
East,I-LOC,I-MISC,10822
Prince,B-PER,O,10960
Rainier,I-PER,B-PER,10961
against,I-MISC,O,10991
Sexual,I-MISC,O,10992
Exploitation,I-MISC,O,10993
of,I-MISC,O,10994
Children,I-MISC,O,10995
of,O,I-ORG,11035
Ohio,B-LOC,I-ORG,11036
Q4,I-ORG,O,11041
EUROPEAN,B-MISC,B-ORG,11350
COAL,O,I-ORG,11351
AND,O,I-ORG,11352
STEEL,O,I-ORG,11353
COMMUNITY,O,I-ORG,11354
BRAVES,B-ORG,B-LOC,11668
NEAGLE,B-PER,O,11670
EUROLIRA,B-ORG,B-MISC,11761
Mayor,B-PER,O,11911
Antonio,I-PER,B-PER,11912
Taichung,B-ORG,B-LOC,12093
division,I-ORG,O,12094
DECATUR,B-ORG,B-LOC,12219
/,O,I-LOC,12222
CLINTON,B-ORG,I-LOC,12223
AND,I-ORG,I-LOC,12224
CEDAR,I-ORG,B-LOC,12225
RAPIDS,I-ORG,I-LOC,12226
Area,B-MISC,B-ORG,12335
Electricity,I-MISC,I-ORG,12336
Boards,I-MISC,I-ORG,12337
Mediterranean,B-MISC,I-MISC,12689
WALES,B-LOC,B-ORG,13220
SAN,B-LOC,B-ORG,13222
MARINO,I-LOC,I-ORG,13223
Stadium,O,B-LOC,13552
post-Games,B-MISC,O,13639
STANDARD,B-ORG,O,13753
LIEGE,I-ORG,O,13754
Intertoto,B-MISC,B-ORG,13779
of,O,I-ORG,13784
Germany,B-LOC,I-ORG,13785
NYMEX,O,B-ORG,13830
U.S.,B-ORG,B-LOC,13912
Treasuries,I-ORG,B-MISC,13913
Chicago,B-MISC,B-LOC,13920
PMI,I-MISC,B-MISC,13921
PMI,O,B-MISC,13941
PIBOR,O,B-MISC,13951
East,B-ORG,B-LOC,13989
Dries,I-ORG,I-LOC,13990
Tajik,B-MISC,B-PER,14079
Surinam,B-LOC,B-PER,14130
REPUBLIKA,B-ORG,B-LOC,14813
All,B-ORG,B-MISC,15359
Blacks,I-ORG,I-MISC,15360
Benin,B-LOC,B-ORG,15421
division,B-MISC,O,15806
Stakes,B-MISC,O,15838
Iron,B-PER,O,15876
Lady,I-PER,O,15877
Conservatives,O,B-MISC,15949
division,B-MISC,O,16067
Ruch,B-ORG,B-PER,16082
in,O,I-ORG,16183
China,B-LOC,I-ORG,16184
Democracy,B-ORG,B-MISC,16233
Wall,I-ORG,I-MISC,16234
Buyoya,B-PER,B-ORG,16485
Nato,O,B-ORG,16506
Pontypridd,B-LOC,B-ORG,16750
GOLF,O,B-LOC,16771
SHEFFIELD,B-MISC,B-PER,16828
SHIELD,I-MISC,O,16829
AUSTRALIAN,O,B-MISC,16837
TOUR,O,I-MISC,16838
AMERICAN,O,B-MISC,16850
EAGLES,B-ORG,O,16853
CENTRAL,O,B-MISC,16864
DIVISION,O,I-MISC,16865
X-DENVER,B-MISC,B-ORG,16875
Charleroi,B-ORG,B-LOC,17143
S.AFRICA,B-MISC,B-LOC,17203
ZULU,B-MISC,B-LOC,17205
Social,B-MISC,B-ORG,17250
Democrats,I-MISC,I-ORG,17251
INTERVIEW-ZYWIEC,B-MISC,B-ORG,17262
Full,B-MISC,I-ORG,17347
Light,I-MISC,I-ORG,17348
van,O,B-PER,17383
Boxmeer,B-PER,I-PER,17384
Trade,B-ORG,O,17408
and,I-ORG,O,17409
Industry,I-ORG,O,17410
Genoa,B-ORG,B-LOC,17527
Med,O,B-ORG,17545
Australia-West,B-MISC,B-LOC,17609
Indies,I-MISC,I-LOC,17610
Pope,O,B-PER,17813
Estonian,B-MISC,B-ORG,17815
Tallinna,B-ORG,I-ORG,17816
Sunseeds,O,B-ORG,18016
Finance,B-ORG,O,18041
Florida,B-ORG,B-LOC,18337
Holstein,O,B-LOC,18350
East,O,B-MISC,18384
NYMEX,B-ORG,B-MISC,18396
Doberman,B-MISC,B-ORG,18475
Net,O,B-ORG,18840
Muenchener,B-MISC,B-ORG,18854
Rueckversicherungs,B-ORG,I-ORG,18855
Fraser,B-PER,B-ORG,19002
Australian,B-MISC,B-LOC,19005
Capital,I-MISC,I-LOC,19006
Territory,I-MISC,I-LOC,19007
Bangkok,B-MISC,B-LOC,19061
Markein,O,I-PER,19162
Belorus,B-LOC,B-ORG,19212
USA,B-ORG,B-LOC,19226
I,I-ORG,O,19227
Wimbledon,B-LOC,B-ORG,19456
Oxford,B-LOC,B-ORG,19525
Victoria,B-LOC,B-ORG,19664
National,B-ORG,O,19751
League,B-ORG,O,19792
еншісіндегі,O,I-MISC,19913
Ақ,B-LOC,B-MISC,19987
жайық,I-LOC,I-ORG,19988
Жастар,B-ORG,O,20038
жылы,I-ORG,I-MISC,20039
Ер,B-MISC,B-ORG,20064
қанаты,I-MISC,I-ORG,20065
ат,I-MISC,I-ORG,20067
сайын,O,I-MISC,20097
Іскерлік,O,B-ORG,20222
әріптестікті,O,I-ORG,20223
шағын,I-MISC,O,20232
бір,O,B-MISC,20242
нөмірі,O,B-ORG,20518
жиырма,B-MISC,I-ORG,20519
бесінші,I-MISC,I-ORG,20520
орта,O,I-ORG,20521
мектеп,O,I-ORG,20522
төңірегінде,O,I-MISC,20697
жиырмасы,B-MISC,O,21344
Қазақстанның,B-LOC,B-PER,21456
Президенті,B-PER,I-PER,21458
ай,B-MISC,O,21613
заңның,O,I-MISC,21803
Алматы,B-ORG,B-LOC,21843
облысы,I-ORG,I-LOC,21844
бойынша,I-ORG,O,21845
Төтенше,I-ORG,B-ORG,21846
(,I-MISC,O,21851
жү,I-MISC,O,21852
),I-MISC,O,21853
дейін,O,I-MISC,21911
елдері,I-MISC,O,22327
басшыларының,I-MISC,O,22328
екінші,I-MISC,B-MISC,22329
консультативтік,I-MISC,O,22330
кездесуі,I-MISC,O,22331
Кәрі,B-LOC,B-ORG,22340
Құрлыққа,I-LOC,I-ORG,22341
Сайлау,O,B-LOC,22511
Алеся,B-LOC,B-PER,22939
Құрлық,I-LOC,B-LOC,22961
індеттің,O,I-LOC,22962
(,I-ORG,O,22969
командасының,I-PER,O,22978
капитаны,I-PER,O,22979
«,B-PER,O,22982
Стэнли,I-PER,B-MISC,22983
»,I-PER,O,22984
кубогының,I-PER,O,22985
екі,I-PER,B-MISC,22986
дүркін,I-PER,O,22987
(,I-PER,O,22988
ы,I-PER,O,22989
),I-PER,O,22990
жеңімпазы,I-PER,O,22991
синдромы,O,I-MISC,23090
Бауырластар-1,B-LOC,O,23583
2-нші,B-MISC,O,23586
Бауырластар-3,B-LOC,O,23589
көкшіл,O,B-MISC,23653
нөмірі,B-LOC,B-ORG,23744
алпыс,I-LOC,I-ORG,23745
бесінші,I-LOC,I-ORG,23746
мектепте,I-LOC,I-ORG,23747
екі,I-MISC,B-MISC,23783
артық,O,I-MISC,23807
шумақ,O,I-MISC,24011
бір,O,B-MISC,24189
қарпіне,O,I-MISC,24666
Сәдібек,B-PER,B-LOC,24722
Түгел,I-PER,I-LOC,24723
нөмірі,B-LOC,I-LOC,24724
пкрезервкейзед,B-MISC,B-ORG,24743
Елбасы,B-LOC,B-PER,24974
кітапханасының,I-LOC,O,24975
Павлодар,B-LOC,B-ORG,25057
облысының,I-LOC,I-ORG,25058
мемлекеттік,O,I-ORG,25059
қорында,O,I-ORG,25060
«,B-ORG,O,25383
КОВИД-он,I-ORG,B-ORG,25384
»,I-ORG,O,25386
құтты,O,I-MISC,25454
күні,O,I-MISC,25455
Күннен,O,B-MISC,25533
бір,B-MISC,O,25550
Рэйва,B-MISC,B-PER,25561
бір,O,B-MISC,25626
14-інші,B-MISC,I-MISC,25660
сантиметр,O,B-MISC,25663
минус,B-MISC,I-MISC,25664
дейін,O,I-MISC,25814
бірнеше,O,B-MISC,25822
есе,O,I-MISC,25823
шақырым,O,I-MISC,25992
Минутына,O,B-LOC,25998
консервативтік,B-ORG,O,26028
партия,I-ORG,O,26029
Жастар,B-ORG,B-MISC,26355
жылының,I-ORG,I-MISC,26356
біреуін,B-MISC,O,26755
екі,I-MISC,B-MISC,26800
басшысының,O,I-PER,26857
орынбасары,O,I-PER,26858
Instagram,B-MISC,B-ORG,27025
қарға,B-MISC,O,27304
қарғаның,I-MISC,O,27305
көзін,I-MISC,O,27306
шұқымайтыны,I-MISC,O,27307
бір,O,I-MISC,27332
тек,B-MISC,O,28113
он,I-MISC,B-MISC,28114
Жалаңтөс,B-PER,B-LOC,28168
баһадүр,B-PER,O,28169
11,B-MISC,O,28185
бап,O,I-MISC,28188
Жазушылар,B-LOC,B-ORG,28299
АйТи-сүйемелдеу,O,B-ORG,28471
АйТи-мамандарының,O,B-ORG,28474
бұрын,B-MISC,I-MISC,28802
қоймасында,I-LOC,O,28828
",",O,I-MISC,28924
дәрежелі,O,I-MISC,28926
Жақсықылыштың,B-LOC,O,29004
бір,O,B-MISC,29108
),O,I-MISC,29181
әр,B-MISC,O,29762
төрт,I-MISC,B-MISC,29763
таман,I-MISC,O,29973
бұл,O,I-MISC,30275
түнін,B-MISC,I-MISC,30276
Ақжа,O,B-LOC,30750
Сындарлы,B-ORG,B-MISC,30815
қоғамдық,I-ORG,I-MISC,30816
диалог,I-ORG,I-MISC,30817
–,I-ORG,I-MISC,30818
Қазақстанның,I-ORG,I-MISC,30819
тұрақтылығы,I-ORG,I-MISC,30820
графикасымен,O,I-MISC,30888
екеуара,O,B-MISC,30910
істері,I-MISC,O,31064
Ішкі,B-ORG,O,31155
істер,I-ORG,O,31156
министрліктердің,I-ORG,O,31157
демократияның,B-MISC,O,31420
тәулік,O,B-MISC,31435
Гиннестің,B-MISC,B-PER,31538
кітабының,I-MISC,I-PER,31540
өкілі,O,I-PER,31542
қара,O,B-MISC,31680
тұман,O,I-MISC,31681
жақыны,I-MISC,O,31894
Мәскеу,B-ORG,B-LOC,31967
қаласындағы,I-ORG,O,31968
Мемлекетаралық,I-ORG,B-ORG,31969
плюс,I-ORG,O,32036
(,I-ORG,O,32037
ыы,I-ORG,O,32038
),I-ORG,O,32039
техникалық,I-ORG,O,32040
комиссиясының,I-ORG,O,32041
Үкімет,B-MISC,B-ORG,32199
сағатында,I-MISC,O,32200
нөл,B-MISC,O,32302
де,I-MISC,O,32303
нөл,I-MISC,O,32304
Зумкар,B-MISC,B-ORG,32456
айлары,O,I-MISC,32549
қара,I-MISC,O,32674
сөзді,I-MISC,O,32675
бірі,B-MISC,O,32796
приказ,O,I-MISC,32891
кеш,O,I-MISC,32903
жүректің,B-MISC,O,32966
аурулары,I-MISC,O,32968
Өмірге,B-MISC,O,33194
үміт,I-MISC,O,33195
сыйлаймыз,I-MISC,O,33196
коворкингінде,O,I-ORG,33206
Astana,B-ORG,B-LOC,33425
Hub,I-ORG,I-LOC,33426
Қырғыз,B-MISC,B-LOC,33736
мен,O,I-LOC,33739
Талас,B-LOC,I-LOC,33740
өзендерінің,O,I-LOC,33741
Процентінен,O,B-MISC,34116
астамының,O,I-MISC,34117
тиыны,O,B-MISC,34238
бір,B-MISC,O,34254
Бірлік,B-PER,B-ORG,34680
қос,O,B-MISC,34686
жоғары,I-MISC,O,35138
мемлекеттік-жекеменшік,B-ORG,O,35243
серіктестік,I-ORG,O,35244
Ақтөбе,B-LOC,B-ORG,35620
облыстық,I-LOC,I-ORG,35621
партия,O,I-ORG,35622
ұйымы,O,I-ORG,35623
Ұлы,O,B-MISC,35734
Жеңіске,O,I-MISC,35735
күндер,O,I-MISC,35813
бұрын,O,I-MISC,35814
чемпионатында,O,I-MISC,35863
бап,O,I-MISC,36041
екінші,B-MISC,I-MISC,36042
бөлігі,O,I-MISC,36043
бап,O,I-MISC,36051
Жыраулар,B-LOC,B-ORG,36173
Доннелли,B-PER,I-PER,36302
Киевского,B-ORG,I-ORG,36766
Лахта-центра,B-ORG,O,36833
Вселенский,O,B-PER,37016
Вселенский,O,B-PER,37174
Кольцово,B-ORG,B-LOC,37600
транспорте,I-ORG,O,37712
»,I-ORG,O,37745
R,O,B-ORG,37820
.,O,I-ORG,37821
S,O,I-ORG,37822
.,O,I-ORG,37823
V,O,I-ORG,37824
.,O,I-ORG,37825
P,O,I-ORG,37826
.,O,I-ORG,37827
Songs,O,I-ORG,37830
Turned,O,B-ORG,37836
to,O,I-ORG,37837
Blue,O,I-ORG,37838
Prada,B-PER,B-ORG,38143
»,O,I-ORG,38314
Мехико,B-LOC,B-PER,38462
кинокритиков,O,I-ORG,38505
Brexit,B-LOC,O,39100
Вестминстерский,B-LOC,O,39105
мост,I-LOC,O,39106
Восточной,O,B-ORG,39136
OneWeb,B-ORG,O,39678
Союз-СТ-Б,O,B-ORG,39686
Интернациональной,O,B-LOC,39778
улице,O,I-LOC,39779
Восход-2,O,B-ORG,39783
Эббинга,O,B-LOC,40121
Иерей,O,B-PER,40399
Пакет,O,B-ORG,41083
Яровой,O,I-ORG,41084
TamTam-канале,B-ORG,O,41126
ОПГ,O,B-ORG,41355
Иерей,O,B-PER,41702
Скрелем,O,I-PER,42370
Киндии,B-LOC,I-ORG,42424
(,I-LOC,I-ORG,42425
КБК,I-LOC,I-ORG,42426
),I-LOC,I-ORG,42427
КПСС,I-ORG,B-ORG,42553
Константинопольскому,B-PER,O,43165
Московского,B-ORG,I-ORG,43190
»,I-ORG,O,43271
в,O,I-ORG,43277
20,O,I-ORG,43278
:,O,I-ORG,43279
00,O,I-ORG,43280
Балевского,B-PER,B-ORG,43386
энергетики,O,I-ORG,43387
The,O,B-ORG,43886
Box,O,I-ORG,43887
Iraq,B-ORG,B-LOC,44170
and,I-ORG,O,44171
Syria,I-ORG,I-LOC,44172
Genocide,I-ORG,O,44173
Внуково,B-ORG,B-LOC,44228
Меган,O,B-ORG,44294
Маркл,O,I-ORG,44295
Christine,O,B-PER,45223
EVE,B-ORG,O,45886
Online,I-ORG,O,45887
Bohemian,O,B-ORG,45945
Rhapsody,O,I-ORG,45946
Адмирал,O,B-PER,46056
Футбольный,B-ORG,O,46120
клуб,I-ORG,O,46121
Московский,B-ORG,O,46313
метрополитен,I-ORG,O,46314
Telegram-канале,O,B-ORG,46338
México,I-ORG,B-LOC,46615
Tamara,O,B-ORG,46812
Mellon,O,I-ORG,46813
Pippa,O,B-ORG,46817
.,O,I-ORG,46969
Тупак,B-PER,O,46973
ОПГ,O,B-ORG,47278
Церковный,O,B-ORG,47303
ММА,O,B-ORG,47486
Санта-Клауса,O,B-PER,48553
Ресторатор,O,B-PER,48926
),O,I-LOC,49649
Burito,B-ORG,B-PER,50102
объединительный,O,I-ORG,50113
собор,O,I-ORG,50114
Еврокомиссия,B-LOC,B-ORG,50406
229,O,I-ORG,50471
Диллона,B-PER,I-PER,50484
Дальнего,B-LOC,I-LOC,50591
Севморпути,B-ORG,B-LOC,50727
Комиссаровым,B-PER,I-PER,50877
НИ,B-ORG,O,51206
РАЗУ,I-ORG,O,51207
Никополь,B-ORG,O,51869
коридор,O,I-LOC,51900
Александрова,O,B-ORG,52419
Dead,B-ORG,O,52694
Cells,I-ORG,O,52695
Пример,B-ORG,O,52817
интонации,I-ORG,O,52818
Realbotix,B-ORG,O,52874
Хармони,B-PER,O,52876
Джошуа,O,B-PER,53144
Юкка,O,B-PER,53155
Майдане,O,B-LOC,53482
Совет,B-ORG,O,54560
НАТО,B-ORG,I-ORG,54563
Юга,B-LOC,O,54794
Jingle,B-ORG,O,54809
Bells,I-ORG,O,54810
»,I-ORG,O,55518
Бога,O,B-PER,55909
ГЛОНАСС,O,B-ORG,56063
Василия,O,B-ORG,56107
Блаженного,O,I-ORG,56108
Kate,B-ORG,B-PER,56733
Middleton,I-ORG,I-PER,56734
IT,B-ORG,O,56892
IT-сектор,B-ORG,O,56927
Французский,O,B-ORG,57599
модный,O,I-ORG,57600
дом,O,I-ORG,57601
Софи,B-PER,B-ORG,57605
Тернер,I-PER,I-ORG,57606
Пересвет,B-ORG,O,57774
О,O,B-ORG,57905
',O,I-ORG,57906
Кей,O,I-ORG,57907
Коркер,B-PER,I-PER,58012
Троицкий,B-ORG,B-LOC,58507
приход,I-ORG,I-LOC,58508
Московского,O,B-LOC,58514
Рублевки,B-LOC,O,58538
(,O,I-PER,58694
Fred,O,I-PER,58695
и,O,I-PER,58696
Lesley,O,I-PER,58697
Higgins,O,I-PER,58698
),O,I-PER,58699
EuroMillions,O,B-ORG,58706
Вести,O,B-ORG,58785
Голубые,O,B-ORG,59101
ели,O,I-ORG,59102
Ангар,B-ORG,B-PER,59299
Бикокка,I-ORG,I-PER,59300
Pirelli,B-ORG,O,59305
III,I-PER,O,59337
Penelope,O,B-ORG,59733
3,O,I-ORG,59736
D,O,I-ORG,59737
Longchamp,O,I-ORG,59740
Roseau,O,B-ORG,59742
Марка,O,B-ORG,59774
Яны,O,B-ORG,59848
Finger,O,I-ORG,59998
Российской,B-ORG,O,60073
Бердянск,B-LOC,B-ORG,60445
Никополь,B-LOC,B-ORG,60449
Ливия,B-PER,B-LOC,60514
Троеморье,B-LOC,B-ORG,60650
OSIRIS-REx,O,B-ORG,60956
Spotify,O,B-ORG,61241
Союз,O,B-ORG,61312
России,I-ORG,B-LOC,61376
(,I-ORG,I-LOC,61377
СКР,I-ORG,I-LOC,61378
),I-ORG,I-LOC,61379
Коринтия,O,B-ORG,61409
Санкт-Петербург,O,I-ORG,61410
Совет,B-ORG,O,61623
»,O,I-ORG,61642
Брызгалова,B-PER,O,62069
Mentor,O,B-MISC,62371
Cup,O,I-MISC,62372
»,I-ORG,O,62422
Jeremy,B-ORG,B-PER,62572
Kyle,I-ORG,I-PER,62573
по,O,I-ORG,62602
правам,O,I-ORG,62603
человека,O,I-ORG,62604
Kepler,B-ORG,O,62686
